id	name	reason	replaced_by	pr	date	notes
rxn08715_c0	Mercury (Hg+2) ABC transporter (periplasm) [c0]	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions
rxn08722_c0	TRANS-RXN-242.cp [c0]	out_of_scope		#281	2025-10-06	feat: standardize amino acid transport reactions
rxn21859_c0	RXN-11478.c [c0]	id_changed	rxn46124_c0	#306	2025-10-24	fix: replace NADP with NAD in rxn21859 & rxn21863 and edit IDs and annotations accordingly
rxn21863_c0	RXN-11482.c [c0]	id_changed	rxn45550_c0	#306	2025-10-24	fix: replace NADP with NAD in rxn21859 & rxn21863 and edit IDs and annotations accordingly
rxn09001_c0	Nitrate reductase (Ubiquinol-8) (periplasm) [c0]	unknown		#299	2025-10-22	fix: nitrate/nitrite redox reactions
rxn09003_c0	Nitrate reductase (Menaquinol-8) (periplasm) [c0]	unknown		#275	2025-10-01	fix: nitrate reductase reactions
rxn09022_c0	O16 antigen polymerase (periplasm) [c0]	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
rxn09039_c0	2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN.c [c0]	unknown		#139	2025-03-23	"fix: remove rxn09039_c0, cpd15359_c0, and cpd15361_c0"
rxn09304_c0	TRANS-RXN-244.cp [c0]	out_of_scope		#281	2025-10-06	feat: standardize amino acid transport reactions
rxn10126_c0	succinate dehyrdogenase [c0]	unknown		#392	2026-03-31	fix: remove rxn00288_c0 and rxn10126_c0 add rxn09272_c0
rxn10192_c0	CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase [c0]	unknown		#315	2025-11-11	"fix: remove rxn10192, cpd02967, cpd15561"
rxn10289_c0	"palmitoyl-lipoteichoic acid synthesis (n=24), linked, unsubstituted [c0]"	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
rxn10290_c0	"myristoyl-lipoteichoic acid synthesis (n=24), linked, unsubstituted [c0]"	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
rxn10291_c0	"stearoyl-lipoteichoic acid synthesis (n=24), linked, unsubstituted [c0]"	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
rxn10292_c0	"isoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, unsubstituted [c0]"	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
rxn10293_c0	"anteisoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, unsubstituted [c0]"	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
rxn10294_c0	"isotetradecanoyl-lipoteichoic acid synthesis (n=24), linked, unsubstituted [c0]"	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
rxn10295_c0	"isopentadecanoyl-lipoteichoic acid synthesis (n=24), linked, unsubstituted [c0]"	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
rxn10296_c0	"anteisopentadecanoyl-lipoteichoic acid synthesis (n=24), linked, unsubstituted [c0]"	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
rxn10297_c0	"isohexadecanoyl-lipoteichoic acid synthesis (n=24), linked, unsubstituted [c0]"	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
rxn10307_c0	"palmitoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted [c0]"	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
rxn10308_c0	"myristoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted [c0]"	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
rxn10309_c0	"stearoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted [c0]"	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
rxn10312_c0	"isotetradecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted [c0]"	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
